"Region","Year","Age Range","Marijuana Use","Measure Type","Variable","Value"
"Northwestern Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",18.45
"Northwestern Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.99
"Northwestern Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",31.09
"Northwestern Region","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.22
"Northwestern Region","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.85
"Northwestern Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.49
"Northwestern Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",5.77
"Northwestern Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.91
"Northwestern Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",9.29
"Northwestern Region","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Northwestern Region","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Northwestern Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.38
"Northwestern Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",3.95
"Northwestern Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.8
"Northwestern Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",6.17
"Northwestern Region","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",1.58
"Northwestern Region","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",6.3
"Northwestern Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.75
"Northwestern Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.86
"Northwestern Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.19
"Northwestern Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.5
"Northwestern Region","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",3.1
"Northwestern Region","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",10.92
"Northwestern Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.49
"Northwestern Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",22.3
"Northwestern Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.39
"Northwestern Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",36.2
"Northwestern Region","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.35
"Northwestern Region","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.36
"Northwestern Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.82
"Northwestern Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.41
"Northwestern Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.38
"Northwestern Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.95
"Northwestern Region","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Northwestern Region","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Northwestern Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.75
"Northwestern Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.19
"Northwestern Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.29
"Northwestern Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.34
"Northwestern Region","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",1.76
"Northwestern Region","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",7.13
"Northwestern Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.4
"Northwestern Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.48
"Northwestern Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.39
"Northwestern Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.16
"Northwestern Region","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",3.1
"Northwestern Region","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",8.79
"Northwestern Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Northwestern Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Northwestern Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Northwestern Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Northwestern Region","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.31
"Northwestern Region","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.1
"Northwestern Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.89
"Northwestern Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.2
"Northwestern Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.4
"Northwestern Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.39
"Northwestern Region","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Northwestern Region","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Northwestern Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.75
"Northwestern Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.41
"Northwestern Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.27
"Northwestern Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.93
"Northwestern Region","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",1.5
"Northwestern Region","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",6
"Northwestern Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.01
"Northwestern Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.96
"Northwestern Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.97
"Northwestern Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.07
"Northwestern Region","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",2.54
"Northwestern Region","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",7.84
"Northwestern Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Northwestern Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Northwestern Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Northwestern Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Northwestern Region","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.29
"Northwestern Region","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.12
"Northwestern Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.9
"Northwestern Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.63
"Northwestern Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.25
"Northwestern Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",11.45
"Northwestern Region","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.09
"Northwestern Region","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.23
"Northwestern Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.84
"Northwestern Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.73
"Northwestern Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.23
"Northwestern Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.2
"Northwestern Region","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",1.62
"Northwestern Region","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.24
"Northwestern Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.12
"Northwestern Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.9
"Northwestern Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.1
"Northwestern Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.88
"Northwestern Region","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",2.4
"Northwestern Region","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",7.85
"Northwestern Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.77
"Northwestern Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.53
"Northwestern Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Northwestern Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Northwestern Region","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.32
"Northwestern Region","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.31
"Northwestern Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.83
"Northwestern Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.69
"Northwestern Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.42
"Northwestern Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.93
"Northwestern Region","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.13
"Northwestern Region","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.41
"Northwestern Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.75
"Northwestern Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.55
"Northwestern Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.34
"Northwestern Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.28
"South Central Region","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",1.91
"South Central Region","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",8.96
"South Central Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.37
"South Central Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.9
"South Central Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.36
"South Central Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",18.91
"South Central Region","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",2.63
"South Central Region","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",7.75
"South Central Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.37
"South Central Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",22.93
"South Central Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.39
"South Central Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",37.25
"South Central Region","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.34
"South Central Region","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.07
"South Central Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.79
"South Central Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.82
"South Central Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.39
"South Central Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.54
"South Central Region","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"South Central Region","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"South Central Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.85
"South Central Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.41
"South Central Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.52
"South Central Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.76
"South Central Region","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",1.59
"South Central Region","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",7.6
"South Central Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.18
"South Central Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.84
"South Central Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.06
"South Central Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.56
"South Central Region","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",2.35
"South Central Region","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",9.35
"South Central Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",3.8
"South Central Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",19.73
"South Central Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.63
"South Central Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",36.63
"South Central Region","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.28
"South Central Region","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.2
"South Central Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.34
"South Central Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.29
"South Central Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.01
"South Central Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12
"South Central Region","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"South Central Region","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"South Central Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.25
"South Central Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.14
"South Central Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.97
"South Central Region","2006-2008","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.05
"South Central Region","2008-2010","12-17","First Use of Marijuana","Percent","Margins of Error",1.93
"South Central Region","2008-2010","12-17","First Use of Marijuana","Percent","Marijuana Use",8.73
"South Central Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.41
"South Central Region","2008-2010","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.47
"South Central Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.57
"South Central Region","2008-2010","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",18.85
"South Central Region","2008-2010","18-25","First Use of Marijuana","Percent","Margins of Error",2.69
"South Central Region","2008-2010","18-25","First Use of Marijuana","Percent","Marijuana Use",9.69
"South Central Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",3.97
"South Central Region","2008-2010","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.85
"South Central Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.63
"South Central Region","2008-2010","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",40.48
"South Central Region","2008-2010","Over 17","First Use of Marijuana","Percent","Margins of Error",0.31
"South Central Region","2008-2010","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.25
"South Central Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.65
"South Central Region","2008-2010","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.89
"South Central Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.28
"South Central Region","2008-2010","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.08
"South Central Region","2008-2010","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"South Central Region","2008-2010","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"South Central Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.62
"South Central Region","2008-2010","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",5.29
"South Central Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.34
"South Central Region","2008-2010","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.79
"South Central Region","2010-2012","12-17","First Use of Marijuana","Percent","Margins of Error",1.72
"South Central Region","2010-2012","12-17","First Use of Marijuana","Percent","Marijuana Use",6.73
"South Central Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.62
"South Central Region","2010-2012","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",10.4
"South Central Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.64
"South Central Region","2010-2012","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",18.12
"South Central Region","2010-2012","18-25","First Use of Marijuana","Percent","Margins of Error",2.72
"South Central Region","2010-2012","18-25","First Use of Marijuana","Percent","Marijuana Use",10.61
"South Central Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.29
"South Central Region","2010-2012","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",27.42
"South Central Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",4.87
"South Central Region","2010-2012","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",42.41
"South Central Region","2010-2012","Over 17","First Use of Marijuana","Percent","Margins of Error",0.32
"South Central Region","2010-2012","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.43
"South Central Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.12
"South Central Region","2010-2012","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",10.03
"South Central Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.47
"South Central Region","2010-2012","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.12
"South Central Region","2010-2012","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"South Central Region","2010-2012","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"South Central Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.14
"South Central Region","2010-2012","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.21
"South Central Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.48
"South Central Region","2010-2012","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",10.7
"South Central Region","2012-2014","12-17","First Use of Marijuana","Percent","Margins of Error",1.4
"South Central Region","2012-2014","12-17","First Use of Marijuana","Percent","Marijuana Use",5.75
"South Central Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.04
"South Central Region","2012-2014","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.46
"South Central Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",2.95
"South Central Region","2012-2014","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.09
"South Central Region","2012-2014","18-25","First Use of Marijuana","Percent","Margins of Error",2.83
"South Central Region","2012-2014","18-25","First Use of Marijuana","Percent","Marijuana Use",10.54
"South Central Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.78
"South Central Region","2012-2014","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",27.53
"South Central Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5
"South Central Region","2012-2014","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",41.41
"South Central Region","2012-2014","Over 17","First Use of Marijuana","Percent","Margins of Error",0.35
"South Central Region","2012-2014","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.57
"South Central Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",2.06
"South Central Region","2012-2014","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",10.28
"South Central Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.28
"South Central Region","2012-2014","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.23
"South Central Region","2012-2014","Over 25","First Use of Marijuana","Percent","Margins of Error",0.1
"South Central Region","2012-2014","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.25
"South Central Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",2.1
"South Central Region","2012-2014","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",7.45
"South Central Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.32
"South Central Region","2012-2014","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.78
"South Central Region","2014-2016","12-17","First Use of Marijuana","Percent","Margins of Error",1.63
"South Central Region","2014-2016","12-17","First Use of Marijuana","Percent","Marijuana Use",6.32
"South Central Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.3
"South Central Region","2014-2016","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.63
"South Central Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3
"South Central Region","2014-2016","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",13.83
"South Central Region","2014-2016","18-25","First Use of Marijuana","Percent","Margins of Error",2.95
"South Central Region","2014-2016","18-25","First Use of Marijuana","Percent","Marijuana Use",11.15
"South Central Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.86
"South Central Region","2014-2016","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",27.83
"South Central Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.3
"South Central Region","2014-2016","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",42.6
"South Central Region","2014-2016","Over 17","First Use of Marijuana","Percent","Margins of Error",0.41
"South Central Region","2014-2016","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.82
"South Central Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.78
"South Central Region","2014-2016","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",9.82
"South Central Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.18
"South Central Region","2014-2016","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.4
"South Central Region","2014-2016","Over 25","First Use of Marijuana","Percent","Margins of Error",0.15
"South Central Region","2014-2016","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.43
"South Central Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.69
"South Central Region","2014-2016","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",6.85
"South Central Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.15
"South Central Region","2014-2016","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",9.75
"Southwest Region","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",1.57
"Southwest Region","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",5.97
"Southwest Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.34
"Southwest Region","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.79
"Southwest Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.36
"Southwest Region","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",15.97
"Southwest Region","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",2.62
"Southwest Region","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",7.69
"Southwest Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",-9999
"Southwest Region","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",-9999
"Southwest Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",-9999
"Southwest Region","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",-9999
"Southwest Region","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.3
"Southwest Region","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",0.96
"Southwest Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.54
"Southwest Region","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.09
"Southwest Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",2.25
"Southwest Region","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",10.24
"Southwest Region","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Southwest Region","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Southwest Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.49
"Southwest Region","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.04
"Southwest Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",2.27
"Southwest Region","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",7.14
"Southwest Region","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",1.7
"Southwest Region","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",7.43
"Southwest Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",2.11
"Southwest Region","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",6.97
"Southwest Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",3.16
"Southwest Region","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.42
"Southwest Region","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",2.28
"Southwest Region","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",8.15
"Southwest Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",4.07
"Southwest Region","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",16.81
"Southwest Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",5.2
"Southwest Region","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",31.25
"Southwest Region","2006-2008","Over 17","First Use of Marijuana","Percent","Margins of Error",0.26
"Southwest Region","2006-2008","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.02
"Southwest Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1.31
"Southwest Region","2006-2008","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",4.84
"Southwest Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.98
"Southwest Region","2006-2008","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",9.11
"Southwest Region","2006-2008","Over 25","First Use of Marijuana","Percent","Margins of Error",-9999
"Southwest Region","2006-2008","Over 25","First Use of Marijuana","Percent","Marijuana Use",-9999
"Southwest Region","2006-2008","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.17
